tree_id,x,y,height,dbh,cluster
1,47.26210000010058,80.19939999992175,5.8,0.095,1
2,48.70910000002794,79.88739999953806,8.5,0.099,1
3,62.83410000002794,79.08139999967216,15.6,0.176,1
4,80.54710000001677,74.55339999973923,9.9,0.355,1
5,46.37210000008661,79.25539999978766,13.6,0.024,1
6,38.0431000000596,79.99439999984726,4,0.067,1
7,33.792100000012105,77.61539999965727,9.8,0.083,1
8,56.59610000001583,80.15339999983236,3.4,0.07,2
9,45.94210000003539,79.64939999964236,3.9,0.087,2
10,42.356100000025144,80.03539999958275,10.6,0.144,1
11,54.695100000061466,77.74639999970944,5.7,0.049,1
12,63.57910000002328,78.58439999969823,10.6,0.164,1
13,47.65310000004564,78.84139999991432,4.2,0.06,1
14,44.382100000095924,71.12239999987334,16.1,0.16,1
15,58.56510000005681,76.98339999990688,3.7,0.097,1
16,45.23310000000372,79.99739999987334,3.2,0.123,2
18,37.2031000000922,79.60339999955296,14.3,0.166,1
19,62.22010000008475,78.58139999967216,7.7,0.109,1
20,57.14210000010524,80.01939999975411,15.5,0.149,1
21,73.86610000003446,77.39339999959022,4.8,0.078,2
23,54.86310000000838,78.9433999998696,7.2,0.059,1
24,52.12910000006985,70.26339999970197,6.1,0.062,1
25,38.681100000095,75.60739999974295,16.8,0.156,1
26,71.61110000002981,79.31539999984354,3.8,0.173,1
27,59.01910000008382,73.84839999966472,12.5,0.113,1
28,65.18610000009966,76.65539999969452,13.3,0.217,2
30,50.37310000001769,79.65039999980628,13.7,0.283,1
31,41.03110000007171,76.09939999982863,16.9,0.205,1
32,49.11610000003446,76.80039999971316,4.6,0.062,1
33,36.96110000000652,76.7223999995008,14.1,0.16,1
34,70.77709999999814,69.97939999971688,14.4,0.139,1
36,47.87210000008661,77.59639999980256,16.1,0.163,1
37,43.90110000006705,73.73939999949336,3.1,0.056,1
38,47.61810000001304,76.16139999974668,10.5,0.077,1
39,35.025100000019556,77.79939999954924,13.6,0.101,1
40,55.43310000007357,77.21439999958648,16.8,0.152,1
42,46.91010000002887,74.34839999966472,7.4,0.088,1
43,44.76710000010524,75.55739999946356,11.3,0.09,1
44,57.26310000003166,70.16039999958276,6.6,0.072,1
45,68.84809999999442,74.7373999996312,6.4,0.168,2
46,40.93510000005216,76.78039999969452,11.7,0.103,1
47,48.826099999997204,73.62839999992549,17.4,0.16,1
48,55.21710000005867,74.04339999949708,3.3,0.043,1
49,53.03410000009779,76.38739999953806,6.4,0.052,1
50,66.40510000002422,76.48139999957904,18.3,0.319,1
52,53.009100000074504,74.00639999948591,14.2,0.118,1
54,65.6461000000624,69.50739999964982,5.2,0.096,1
55,50.79610000008568,73.4993999997355,6.7,0.058,1
56,55.070100000061466,75.94039999984354,4.7,0.049,1
57,57.08610000000652,71.63939999986589,4,0.04,1
58,45.18610000009965,73.76439999986589,15.3,0.134,1
59,49.02410000008848,75.79739999968707,4.9,0.054,1
60,46.22410000004191,76.294399999661,16.6,0.173,1
61,46.83610000000652,72.83439999969825,9,0.085,1
62,45.31110000009965,73.044399999661,7.8,0.071,1
63,57.88710000010058,74.67639999987708,6.5,0.058,1
64,47.00810000002701,69.38339999981373,7.1,0.073,1
65,47.27910000009313,73.55239999957531,7,0.074,1
66,47.40810000005029,74.08139999967217,6.1,0.083,1
67,53.17010000003818,71.16039999958276,3.8,0.058,1
69,56.25610000004843,74.56439999967962,8.7,0.121,1
70,44.091100000011174,74.22139999980256,16,0.171,1
71,48.79110000008103,71.76239999953806,7.8,0.064,1
72,57.53310000005029,72.83239999983608,7.6,0.12,2
73,49.54110000008103,74.03039999969452,17.6,0.119,1
74,55.46510000008009,67.74539999954551,5.4,0.044,1
75,55.18910000000931,72.90039999980628,13,0.104,1
76,52.99810000001769,73.52439999964237,6.6,0.085,1
77,59.67610000009034,70.14139999972805,6.4,0.048,1
78,53.289100000102444,72.10939999960512,2.8,0.051,1
79,46.384100000074504,73.82339999975785,7.8,0.074,1
80,52.5431000000596,74.11739999951944,3.1,0.044,1
81,36.22410000004191,71.26539999956414,12.6,0.087,1
82,37.5321000000028,72.39339999959022,13.5,0.173,1
84,74.89410000008382,67.39339999959022,4,0.131,2
86,34.21810000010617,72.44439999956786,14.8,0.156,2
87,72.08210000004937,70.10039999952689,13.8,0.153,1
88,58.54610000008568,71.57739999948218,17.2,0.185,1
90,56.32109999999255,72.65439999953061,17,0.15,1
91,67.88810000003167,70.98639999946728,12.8,0.12,1
94,30.95010000006613,66.915399999471,13.7,0.223,2
95,51.8281000000922,70.81139999965355,3.4,0.057,1
96,59.11310000000838,72.03839999960884,8.6,0.058,1
98,46.48410000005122,70.2153999997504,16.2,0.107,1
99,60.01710000010524,71.19839999975785,4.5,0.032,1
100,46.038100000054946,72.26639999972805,16.4,0.149,1
101,52.55110000009034,70.24839999957159,8.6,0.062,1
102,75.54909999999535,69.93239999946356,13,0.173,1
104,57.941100000104306,66.10239999985471,7.2,0.059,1
106,47.337100000054015,70.53139999985844,5.5,0.08,1
108,48.92110000008568,68.69839999975785,3.1,0.035,1
109,48.84809999999441,71.33039999950826,11.9,0.071,1
110,51.36410000005588,71.59639999980256,17.3,0.146,1
111,62.50009999999627,69.7263999996908,4.1,0.127,1
112,54.49310000001304,69.16239999991059,18.5,0.208,1
113,47.386100000053084,71.04939999954924,5.5,0.07,1
116,50.448100000087535,70.13239999964982,14.7,0.148,1
117,55.94010000005681,68.69739999959394,5.2,0.046,1
118,60.979100000046564,67.5783999996461,5.2,0.088,1
119,46.49810000001769,71.08539999986216,7.8,0.223,1
120,61.92610000009034,71.39539999991804,16,0.189,1
121,56.51410000007916,69.71639999991432,6.5,0.061,1
122,46.932100000026075,68.18539999948963,8.7,0.084,1
124,47.824100000018625,65.68339999962747,4.1,0.086,1
125,45.12810000002235,67.18539999948963,6.8,0.068,1
126,44.2361000000298,69.11039999976903,5,0.051,1
128,83.77310000004098,67.294399999661,9,0.13,1
129,51.34010000008009,68.99339999968335,6.5,0.059,1
130,46.27209999999348,69.45139999978393,3.4,0.062,1
131,49.08210000004936,69.12939999962374,6.3,0.057,1
133,57.434100000004655,69.00339999992549,6.7,0.044,1
134,44.7941000001071,64.69639999989569,4.4,0.055,1
138,54.150100000019556,67.04639999952316,16.8,0.31,1
139,58.2361000000298,68.24539999954551,2.9,0.037,1
141,54.46910000003725,68.19839999975785,8.5,0.18,1
142,64.3171000000354,67.4653999997504,9.6,0.11,1
143,52.49110000003446,68.19039999984354,5.1,0.072,1
144,59.59310000010617,64.10439999971688,4.2,0.039,1
145,72.49110000003446,66.53039999969452,8.4,0.115,1
146,53.16210000000745,68.77439999964237,2.4,0.083,1
148,58.54909999999534,65.72239999950081,6.5,0.062,1
149,61.333100000096856,65.76939999975413,8,0.124,1
150,51.25410000006985,68.10739999974295,17.1,0.16,1
151,46.303100000068916,66.69439999956786,11.8,0.106,1
152,41.975100000089405,66.86539999965727,3.1,0.062,1
153,36.92210000001677,66.81339999951571,13.9,0.138,1
154,81.45610000000187,63.505399999787656,13.6,0.189,2
155,57.42510000004284,65.75339999992549,14,0.124,1
156,47.95410000002328,67.79739999968707,4.7,0.062,1
157,43.7821000000028,64.44339999986961,12.8,0.106,1
159,46.35510000009406,65.38439999951198,15.9,0.153,1
160,68.03110000007172,67.20039999962002,5.8,0.139,1
161,55.928100000068916,65.52739999966845,5,0.036,1
163,65.57109999999255,65.8623999996312,4.4,0.085,1
164,71.03610000007637,62.20939999969825,5.1,0.092,2
166,84.30210000002143,66.79139999963492,6,0.126,1
167,50.8951000000149,63.7493999997355,4.1,0.056,1
168,56.61310000000838,62.98839999979511,4.1,0.044,1
169,53.01610000005774,65.38339999981373,7.2,0.072,1
170,59.07510000006612,66.6473999997802,17,0.144,1
171,51.740100000103375,64.59539999963864,12.9,0.115,1
173,83.65209999999814,65.38339999981373,10.4,0.129,1
174,47.08210000004936,61.83539999986216,10.6,0.09,1
175,35.83410000002794,63.23839999979511,10.5,0.107,1
176,59.990100000103375,65.67539999971315,4.9,0.164,1
177,64.84809999999442,61.81339999951571,6,0.121,1
178,65.38210000009593,62.05939999979138,17.2,0.185,1
179,30.40310000004564,64.66439999977275,13.5,0.157,1
180,47.27209999999348,66.06839999986961,7.3,0.073,1
181,48.54710000001677,64.33039999950826,8.1,0.067,1
182,83.47110000001585,64.39339999959022,7.3,0.11,1
183,59.82910000002328,64.89239999989196,12.5,0.176,1
